DL,BC,CH
224.25,199.25,121.3333
302.5833,228.5833,210.0833
256.6667,248.9167,196.75
283.75,227,180.0833
158.5,173.8333,123.6667
174.0833,197.3333,144.0833
263.5833,234.6667,194.75
271.5833,231.25,214.4167
258.75,245.8333,180.8333
231.75,199.5833,155.6667
255,232.6667,198.8333
287.3333,242.6667,202.3333
151.25,207.8333,153.0833
187.3333,200.0833,156.1667
245.25,212.0833,186
201.25,210.5833,140.3333
271.0833,212.8333,170.1667
197.1667,202.0833,151.6667
231.8333,212.25,163.1667
204.0833,183.3333,148.1667
249.0833,170.3333,155.5833
156.5,130.6667,117.0833
198.8333,149.1667,163.25
238.0833,232.5,191.8333
307.9167,262.8333,167.9167
182.3333,185.0833,155
229,192.9167,174.9167
210.4167,196.4167,160.4167
239.25,193.1667,184.75
282.9167,245.1667,219.75
233.5,241.6667,194.9167
199.9167,142.8333,149.9167
258.0833,237,185.0833
258.1667,243.5833,209.9167
265.6667,218.5,197.75
231.0833,245.4167,193.25
184.9167,195.3333,156.9167
254.3333,215.75,190.6667
257.5,241.5833,186.75
247.3333,214.6667,186.4167
198.8333,173.9167,157.5833
213,182.0833,136.5833
244.3333,244.75,183
